taker_pos,taker_name,taker_result,taker_href,taker_outcome,taker_team,game_id
3,Luigi De Agostini,,https://en.wikipedia.org/wiki/Luigi_De_Agostini,scored,loser,7
3,Julio Olarticoechea,,https://en.wikipedia.org/wiki/Julio_Olarticoechea,scored,winner,7
4,Roberto Donadoni,,https://en.wikipedia.org/wiki/Roberto_Donadoni,missed,loser,7
4,Diego Maradona,,https://en.wikipedia.org/wiki/Diego_Maradona,scored,winner,7
5,Aldo Serena,Ending miss,https://en.wikipedia.org/wiki/Aldo_Serena,missed,loser,7
1,Gary Lineker,First penalty,https://en.wikipedia.org/wiki/Gary_Lineker,scored,loser,8
1,Andreas Brehme,,https://en.wikipedia.org/wiki/Andreas_Brehme,scored,winner,8
2,Peter Beardsley,,https://en.wikipedia.org/wiki/Peter_Beardsley,scored,loser,8
2,Lothar Matthäus,,https://en.wikipedia.org/wiki/Lothar_Matth%C3%A4us,scored,winner,8
3,David Platt (footballer),,https://en.wikipedia.org/wiki/David_Platt_(footballer),scored,loser,8
3,Karl-Heinz Riedle,,https://en.wikipedia.org/wiki/Karl-Heinz_Riedle,scored,winner,8
4,Stuart Pearce,,https://en.wikipedia.org/wiki/Stuart_Pearce,missed,loser,8
4,Olaf Thon,,https://en.wikipedia.org/wiki/Olaf_Thon,scored,winner,8
5,Chris Waddle,Ending miss,https://en.wikipedia.org/wiki/Chris_Waddle,missed,loser,8
1,Alberto García Aspe,First penalty,https://en.wikipedia.org/wiki/Alberto_Garc%C3%ADa_Aspe,missed,loser,9
1,Krasimir Balakov,,https://en.wikipedia.org/wiki/Krasimir_Balakov,missed,winner,9
2,Marcelino Bernal,,https://en.wikipedia.org/wiki/Marcelino_Bernal,missed,loser,9
2,Boncho Genchev,,https://en.wikipedia.org/wiki/Boncho_Genchev,scored,winner,9
3,Jorge Rodríguez (footballer),,https://en.wikipedia.org/wiki/Jorge_Rodr%C3%ADguez_(footballer),missed,loser,9
3,Daniel Borimirov,,https://en.wikipedia.org/wiki/Daniel_Borimirov,scored,winner,9
4,Claudio Suárez,,https://en.wikipedia.org/wiki/Claudio_Su%C3%A1rez,scored,loser,9
4,Yordan Letchkov,Ending goal,https://en.wikipedia.org/wiki/Yordan_Letchkov,scored,winner,9
1,Håkan Mild,First penalty,https://en.wikipedia.org/wiki/H%C3%A5kan_Mild,missed,winner,10
1,Florin Răducioiu,,https://en.wikipedia.org/wiki/Florin_R%C4%83ducioiu,scored,loser,10
2,Kennet Andersson,,https://en.wikipedia.org/wiki/Kennet_Andersson,scored,winner,10
2,Gheorghe Hagi,,https://en.wikipedia.org/wiki/Gheorghe_Hagi,scored,loser,10
3,Tomas Brolin,,https://en.wikipedia.org/wiki/Tomas_Brolin,scored,winner,10
3,Ioan Lupescu,,https://en.wikipedia.org/wiki/Ioan_Lupescu,scored,loser,10
4,Klas Ingesson,,https://en.wikipedia.org/wiki/Klas_Ingesson,scored,winner,10
4,Dan Petrescu,,https://en.wikipedia.org/wiki/Dan_Petrescu,missed,loser,10
5,Roland Nilsson,,https://en.wikipedia.org/wiki/Roland_Nilsson,scored,winner,10
5,Ilie Dumitrescu,,https://en.wikipedia.org/wiki/Ilie_Dumitrescu,scored,loser,10
6,Henrik Larsson,,https://en.wikipedia.org/wiki/Henrik_Larsson,scored,winner,10
6,Miodrag Belodedici,Ending miss,https://en.wikipedia.org/wiki/Miodrag_Belodedici,missed,loser,10
1,Franco Baresi,First penalty,https://en.wikipedia.org/wiki/Franco_Baresi,missed,loser,11
1,"Márcio Santos (footballer, born 1969)",,"https://en.wikipedia.org/wiki/M%C3%A1rcio_Santos_(footballer,_born_1969)",missed,winner,11
2,Demetrio Albertini,,https://en.wikipedia.org/wiki/Demetrio_Albertini,scored,loser,11
2,Romário,,https://en.wikipedia.org/wiki/Rom%C3%A1rio,scored,winner,11
3,Alberigo Evani,,https://en.wikipedia.org/wiki/Alberigo_Evani,scored,loser,11
3,Branco (footballer),,https://en.wikipedia.org/wiki/Branco_(footballer),scored,winner,11
4,Daniele Massaro,,https://en.wikipedia.org/wiki/Daniele_Massaro,missed,loser,11
4,Dunga,,https://en.wikipedia.org/wiki/Dunga,scored,winner,11
5,Roberto Baggio,Ending miss,https://en.wikipedia.org/wiki/Roberto_Baggio,missed,loser,11
1,Sergio Berti,First penalty,https://en.wikipedia.org/wiki/Sergio_Berti,scored,winner,12
1,Alan Shearer,,https://en.wikipedia.org/wiki/Alan_Shearer,scored,loser,12
2,Hernán Crespo,,https://en.wikipedia.org/wiki/Hern%C3%A1n_Crespo,missed,winner,12
2,Paul Ince,,https://en.wikipedia.org/wiki/Paul_Ince,missed,loser,12
3,Juan Sebastián Verón,,https://en.wikipedia.org/wiki/Juan_Sebasti%C3%A1n_Ver%C3%B3n,scored,winner,12
3,Paul Merson,,https://en.wikipedia.org/wiki/Paul_Merson,scored,loser,12
4,Marcelo Gallardo,,https://en.wikipedia.org/wiki/Marcelo_Gallardo,scored,winner,12
4,Michael Owen,,https://en.wikipedia.org/wiki/Michael_Owen,scored,loser,12
5,Roberto Ayala,,https://en.wikipedia.org/wiki/Roberto_Ayala,scored,winner,12
5,David Batty,Ending miss,https://en.wikipedia.org/wiki/David_Batty,missed,loser,12
1,Zinedine Zidane,First penalty,https://en.wikipedia.org/wiki/Zinedine_Zidane,scored,winner,13
1,Roberto Baggio,,https://en.wikipedia.org/wiki/Roberto_Baggio,scored,loser,13
2,Bixente Lizarazu,,https://en.wikipedia.org/wiki/Bixente_Lizarazu,missed,winner,13
2,Demetrio Albertini,,https://en.wikipedia.org/wiki/Demetrio_Albertini,missed,loser,13
3,David Trezeguet,,https://en.wikipedia.org/wiki/David_Trezeguet,scored,winner,13
3,Alessandro Costacurta,,https://en.wikipedia.org/wiki/Alessandro_Costacurta,scored,loser,13
4,Thierry Henry,,https://en.wikipedia.org/wiki/Thierry_Henry,scored,winner,13
4,Christian Vieri,,https://en.wikipedia.org/wiki/Christian_Vieri,scored,loser,13
5,Laurent Blanc,,https://en.wikipedia.org/wiki/Laurent_Blanc,scored,winner,13
5,Luigi Di Biagio,Ending miss,https://en.wikipedia.org/wiki/Luigi_Di_Biagio,missed,loser,13
1,Ronaldo (Brazilian footballer),First penalty,https://en.wikipedia.org/wiki/Ronaldo_(Brazilian_footballer),scored,winner,14
1,Frank de Boer,,https://en.wikipedia.org/wiki/Frank_de_Boer,scored,loser,14
2,Rivaldo,,https://en.wikipedia.org/wiki/Rivaldo,scored,winner,14
2,Dennis Bergkamp,,https://en.wikipedia.org/wiki/Dennis_Bergkamp,scored,loser,14
3,"Emerson (footballer, born 1976)",,"https://en.wikipedia.org/wiki/Emerson_(footballer,_born_1976)",scored,winner,14
3,Phillip Cocu,,https://en.wikipedia.org/wiki/Phillip_Cocu,missed,loser,14
4,Dunga,,https://en.wikipedia.org/wiki/Dunga,scored,winner,14
4,Ronald de Boer,Ending miss,https://en.wikipedia.org/wiki/Ronald_de_Boer,missed,loser,14
1,Robbie Keane,First penalty,https://en.wikipedia.org/wiki/Robbie_Keane,scored,loser,15
1,Fernando Hierro,,https://en.wikipedia.org/wiki/Fernando_Hierro,scored,winner,15
2,Matt Holland,,https://en.wikipedia.org/wiki/Matt_Holland,missed,loser,15
2,Rubén Baraja,,https://en.wikipedia.org/wiki/Rub%C3%A9n_Baraja,scored,winner,15
3,David Connolly,,https://en.wikipedia.org/wiki/David_Connolly,missed,loser,15
3,"Juanfran (footballer, born 1976)",,"https://en.wikipedia.org/wiki/Juanfran_(footballer,_born_1976)",missed,winner,15
4,Kevin Kilbane,,https://en.wikipedia.org/wiki/Kevin_Kilbane,missed,loser,15
4,Juan Carlos Valerón,,https://en.wikipedia.org/wiki/Juan_Carlos_Valer%C3%B3n,missed,winner,15
5,Steve Finnan,,https://en.wikipedia.org/wiki/Steve_Finnan,scored,loser,15
5,Gaizka Mendieta,Ending goal,https://en.wikipedia.org/wiki/Gaizka_Mendieta,scored,winner,15
1,Hwang Sun-hong,First penalty,https://en.wikipedia.org/wiki/Hwang_Sun-hong,scored,winner,16
1,Fernando Hierro,,https://en.wikipedia.org/wiki/Fernando_Hierro,scored,loser,16
2,Park Ji-sung,,https://en.wikipedia.org/wiki/Park_Ji-sung,scored,winner,16
2,Rubén Baraja,,https://en.wikipedia.org/wiki/Rub%C3%A9n_Baraja,scored,loser,16
3,Seol Ki-hyeon,,https://en.wikipedia.org/wiki/Seol_Ki-hyeon,scored,winner,16
3,Xavi,,https://en.wikipedia.org/wiki/Xavi,scored,loser,16
4,Ahn Jung-hwan,,https://en.wikipedia.org/wiki/Ahn_Jung-hwan,scored,winner,16
4,Joaquín (footballer),,https://en.wikipedia.org/wiki/Joaqu%C3%ADn_(footballer),missed,loser,16
5,Hong Myung-bo,Ending goal,https://en.wikipedia.org/wiki/Hong_Myung-bo,scored,winner,16
1,Andriy Shevchenko,First penalty,https://en.wikipedia.org/wiki/Andriy_Shevchenko,missed,winner,17
1,Marco Streller,,https://en.wikipedia.org/wiki/Marco_Streller,missed,loser,17
2,Artem Milevskiy,,https://en.wikipedia.org/wiki/Artem_Milevskiy,scored,winner,17
2,Tranquillo Barnetta,,https://en.wikipedia.org/wiki/Tranquillo_Barnetta,missed,loser,17
3,Serhiy Rebrov,,https://en.wikipedia.org/wiki/Serhiy_Rebrov,scored,winner,17
3,Ricardo Cabanas,,https://en.wikipedia.org/wiki/Ricardo_Cabanas,missed,loser,17
4,Oleh Husyev,Ending goal,https://en.wikipedia.org/wiki/Oleh_Husyev,scored,winner,17
1,Oliver Neuville,First penalty,https://en.wikipedia.org/wiki/Oliver_Neuville,scored,winner,18
1,Julio Ricardo Cruz,,https://en.wikipedia.org/wiki/Julio_Ricardo_Cruz,scored,loser,18
2,Michael Ballack,,https://en.wikipedia.org/wiki/Michael_Ballack,scored,winner,18
2,Roberto Ayala,,https://en.wikipedia.org/wiki/Roberto_Ayala,missed,loser,18
3,Lukas Podolski,,https://en.wikipedia.org/wiki/Lukas_Podolski,scored,winner,18
3,Maxi Rodríguez,,https://en.wikipedia.org/wiki/Maxi_Rodr%C3%ADguez,scored,loser,18
4,Tim Borowski,,https://en.wikipedia.org/wiki/Tim_Borowski,scored,winner,18
4,Esteban Cambiasso,Ending miss,https://en.wikipedia.org/wiki/Esteban_Cambiasso,missed,loser,18
1,Simão Sabrosa,First penalty,https://en.wikipedia.org/wiki/Sim%C3%A3o_Sabrosa,scored,winner,19
1,Frank Lampard,,https://en.wikipedia.org/wiki/Frank_Lampard,missed,loser,19
2,Hugo Viana,,https://en.wikipedia.org/wiki/Hugo_Viana,missed,winner,19
2,Owen Hargreaves,,https://en.wikipedia.org/wiki/Owen_Hargreaves,scored,loser,19
3,Petit (Portuguese footballer),,https://en.wikipedia.org/wiki/Petit_(Portuguese_footballer),missed,winner,19
3,Steven Gerrard,,https://en.wikipedia.org/wiki/Steven_Gerrard,missed,loser,19
4,Hélder Postiga,,https://en.wikipedia.org/wiki/H%C3%A9lder_Postiga,scored,winner,19
4,Jamie Carragher,,https://en.wikipedia.org/wiki/Jamie_Carragher,missed,loser,19
5,Cristiano Ronaldo,Ending goal,https://en.wikipedia.org/wiki/Cristiano_Ronaldo,scored,winner,19
1,Andrea Pirlo,First penalty,https://en.wikipedia.org/wiki/Andrea_Pirlo,scored,winner,20
1,Sylvain Wiltord,,https://en.wikipedia.org/wiki/Sylvain_Wiltord,scored,loser,20
2,Marco Materazzi,,https://en.wikipedia.org/wiki/Marco_Materazzi,scored,winner,20
2,David Trezeguet,,https://en.wikipedia.org/wiki/David_Trezeguet,missed,loser,20
3,Daniele De Rossi,,https://en.wikipedia.org/wiki/Daniele_De_Rossi,scored,winner,20
3,Eric Abidal,,https://en.wikipedia.org/wiki/Eric_Abidal,scored,loser,20
